*Node results
   nid               u_1               u_2       reactionF_1       reactionF_2
     1      0.0000000000      0.0000000000     -0.9302517572     -2.7907552717
     2      0.0000000000      0.0000000000     -3.0697482428     -5.5953983555
     3      0.4999510490      0.0000000000     -0.0000000000      0.0630625261
     4      0.5862545091      0.0000000000      0.0000000000      7.3230911011
     5      1.2898558793      0.5506194903      0.0000000000      0.0000000000
     6      1.2440657710      0.2270233983     -0.0000000000      0.0000000000
     7      1.2402953674     -0.2368455536      0.0000000000     -0.0000000000
     8      3.3160643231      1.5383867285      0.0000000000     -0.0000000000
     9      3.0805263168     -0.0747815439     -0.0000000000     -0.0000000000
    10      9.1224040210      0.0066746763      4.0000000000      1.0000000000

*Element results
   eid    internal_force
     1      0.0000000000
     2      2.4997552450
     3      2.4410303670
     4     -1.2951397874
     5     -0.0377040359
     6     -1.1776900315
     7      2.9417143502
     8      2.0477958082
     9      3.8502719316
    10     -0.1260890544
    11      0.0596153152
    12     -7.7192157975
    13      4.9895101584
    14      1.8620914386
    15      1.8620914386
    16     -7.6596004823
    17      6.8516015970
    18     -5.7975090436
