*Node results
   nid               u_1               u_2       reactionF_1       reactionF_2
     1      0.0000000000      0.0138167612    -30.3120535279      0.0000000000
     2      0.0457110290      0.0007190027     -0.0000000000      0.0000000000
     3      0.0755320640      0.1983066592      0.0000000000     -0.0000000000
     4      0.0772445923      0.5041345352      0.0000000000      0.0000000000
     5      0.0573179247      0.7830150632     -0.0000000000      0.0000000000
     6      0.0191384469      1.0432211042     -0.0000000000     30.0000000000
     7     -0.0166713799      0.9833236190      0.0000000000     -0.0000000000
     8     -0.0482313816      0.8703215797     -0.0000000000      0.0000000000
     9     -0.0692613338      0.7222099880     -0.0000000000     -0.0000000000
    10     -0.0819345700      0.5394639689      0.0000000000      0.0000000000
    11     -0.0865125841      0.2979684748     -0.0000000000     -0.0000000000
    12     -0.0823063323      0.0542228240      0.0000000000     -0.0000000000
    13     -0.0644123715     -0.1184952371     -0.0000000000     -0.0000000000
    14     -0.0447134157     -0.2569268251     -0.0000000000      0.0000000000
    15     -0.0316645080     -0.5204400558      0.0000000000      0.0000000000
    16     -0.0539918293     -1.1739531541     -0.0000000000     -0.0000000000
    17     -0.0642870800     -1.9939639139     -0.0000000000     -0.0000000000
    18     -0.0590953520     -2.9799465446      0.0000000000      0.0000000000
    19     -0.0342996542     -4.3552643374      0.0000000000     -0.0000000000
    20      0.0057291218     -5.9429496894     -0.0000000000      0.0000000000
    21      0.0620139869     -7.7747143042      0.0000000000     -0.0000000000
    22      0.0000000000     -5.3412415136     -8.7304049196    -10.0000000000
    23      0.0000000000      0.0000000000     40.8172791128    -19.2517893024
    24     -0.0672917095      0.2403190325      0.0000000000     -0.0000000000
    25     -0.1032238384      0.5554699431      0.0000000000     -0.0000000000
    26     -0.1046173653      0.8384499768     -0.0000000000     -0.0000000000
    27     -0.0652801951      1.0076620050     -0.0000000000      0.0000000000
    28     -0.0259157612      0.9474906178     -0.0000000000     -0.0000000000
    29      0.0056852439      0.8326391183     -0.0000000000     -0.0000000000
    30      0.0264954605      0.6678855695     -0.0000000000     -0.0000000000
    31      0.0352288711      0.4670540573      0.0000000000      0.0000000000
    32      0.0253506104      0.2108777486     -0.0000000000      0.0000000000
    33      0.0000000000      0.0000000000     -1.7748206653     -0.7482106976
    34     -0.0105472055     -0.1127671734      0.0000000000      0.0000000000
    35     -0.0204639299     -0.2522524006      0.0000000000     -0.0000000000
    36      0.1188596163      0.5427196772      0.0000000000     -0.0000000000
    37      0.3248921688      0.3280144781     -0.0000000000     -0.0000000000
    38      0.6446397915      0.0120393229      0.0000000000      0.0000000000
    39      0.6858710758     -0.1726497342     -0.0000000000     -0.0000000000
    40      0.7429992498     -0.3412206003     -0.0000000000      0.0000000000
    41      0.8227388562     -0.5404664966     -0.0000000000      0.0000000000
    42      0.9773919639     -1.0972330018     -0.0000000000      0.0000000000
    43      1.1382917021     -1.8790929790     -0.0000000000     -0.0000000000
    44      1.3225434941     -2.9291266053      0.0000000000     -0.0000000000
    45      1.5288826913     -4.2868137578     -0.0000000000      0.0000000000
    46      1.7157969816     -5.6742012464      0.0000000000      0.0000000000
    47      1.9511993961     -7.5870815441     -0.0000000000     -0.0000000000

*Element results
   eid    internal_force
     1     32.5780046678
     2     32.5763576886
     3     13.4749544422
     4     -4.9439142609
     5    -19.6071759567
     6    -34.1200985719
     7    -27.4759091497
     8    -20.6673189323
     9    -18.2048403527
    10    -11.7569369857
    11     -4.6545637432
    12      8.2799570141
    13     11.6831010382
    14      2.6057606655
    15    -38.0590826316
    16    -30.9383818514
    17    -22.6845453545
    18    -13.7033198895
    19     -5.8855676800
    20      3.2992741478
    21      3.2995900601
    22     -2.8371923313
    23    -23.3880483340
    24     -5.5821113179
    25      9.1022869461
    26     23.3867897924
    27     16.9856452223
    28     10.0628518707
    29      3.7228401266
    30     -2.9721863347
    31    -11.9090207645
    32    -20.8000670873
    33    -22.7115387997
    34    -40.0704343456
    35    -56.5438655216
    36      5.4312489231
    37      8.8036464397
    38     10.8294346082
    39      8.1578712413
    40     15.6858066889
    41     26.0300868699
    42     36.2094813576
    43     29.1988494022
    44     21.6547560213
    45     13.9305493555
    46      4.7466321236
    47     -4.2106254078
    48    -15.7002615137
    49      0.0459223252
    50     20.2557380587
    51     19.9029799778
    52     19.5526061824
    53    -10.8171127241
    54    -10.7045985068
    55    -10.5498172032
    56    -13.9332554861
    57    -17.7979206133
    58    -18.9830578259
    59    -12.0146287650
    60      3.2983593747
    61      1.8862072593
    62    -27.5268658171
    63    -26.4170044693
    64    -23.8654562908
    65    -23.3671555383
    66     12.2958713591
    67     12.3212580467
    68     11.9650402953
    69     15.0163166651
    70     19.4019117688
    71     20.1002993156
    72    -19.9233148911
    73    -17.4873461203
    74      4.0528890479
    75      3.6903025878
    76     -6.0689281026
    77    -15.2553881997
    78    -20.9852565251
    79    -18.1988753098
    80     12.3665594910
    81     11.7179217891
    82     11.0270626681
    83     10.1763443928
    84      9.3839822064
    85      0.0044497628
    86     -3.5063055184
    87     -2.6547584248
    88     17.6621228344
    89     24.4084578465
    90     21.3763655824
    91    -14.8095389101
    92    -14.3523750767
    93    -14.1767274866
    94    -14.3847569749
    95    -12.8762595266
    96    -12.3710030959
